source,target,id,yearly_volume,type,year,water_type,purchased_self,source_file,source_county,target_county
Meredith Lake/Reservoir,10,intake_2," 5,025,258,000 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,HUTCHINSON,HUTCHINSON
Ogallala Aquifer,10,intake_3," 18,627,036,000 ",intake,2022,Ground Water,Self-Supplied,PWS Intake_2022-2023.csv,ROBERTS,HUTCHINSON
Ogallala Aquifer,20,intake_6," 188,476,000 ",intake,2022,Ground Water,Self-Supplied,PWS Intake_2022-2023.csv,DONLEY,DONLEY
Greenbelt Lake/Reservoir,20,intake_7," 881,737,000 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,DONLEY,DONLEY
Athens Lake/Reservoir,25,intake_10," 1,148,961,000 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,HENDERSON,HENDERSON
Carrizo-Wilcox Aquifer,25,intake_11," 150,390,000 ",intake,2022,Ground Water,Self-Supplied,PWS Intake_2022-2023.csv,HENDERSON,HENDERSON
Lake O' The Pines Lake/Reservoir,60,intake_13," 8,729,765,206 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,MARION,MARION
186,140,intake_20," 228,421,551 ",intake,2022,Surface Water,Purchased,PWS Intake_2022-2023.csv,POLK,JEFFERSON
Neches Run Of River,140,intake_21," 23,315,290,752 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,JASPER,JEFFERSON
Trinity Local Supply,140,intake_22," 814,627,500 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,LIBERTY,JEFFERSON
Neches Run Of River,140,intake_23," 12,070,824,444 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,JASPER,JEFFERSON
Neches Run Of River,140,intake_24," 58,691,630,418 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,JASPER,JEFFERSON
186,140,intake_25," 10,242,800,334 ",intake,2022,Surface Water,Purchased,PWS Intake_2022-2023.csv,POLK,JEFFERSON
Lavon Lake/Reservoir,160,intake_28," 105,503,359,000 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,COLLIN,COLLIN
Texoma Lake/Reservoir,160,intake_29," 15,179,561,000 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,GRAYSON,COLLIN
Trinity Run Of River,220,intake_31," 755,198,000 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,HOUSTON,HOUSTON
Brazos Basin (Source Unknown),280,intake_36," 34,882,480 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,COMANCHE,COMANCHE
Brazos Basin (Source Unknown),280,intake_37," 433,612,879 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,COMANCHE,COMANCHE
Proctor Lake/Reservoir,280,intake_38," 39,151,000 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,HAMILTON,COMANCHE
Brazos Basin (Source Unknown),280,intake_39," 497,512,643 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,COMANCHE,COMANCHE
White River Lake/Reservoir,290,intake_42," 175,017,845 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,CROSBY,CROSBY
Ogallala Aquifer,290,intake_43," 255,099,858 ",intake,2022,Ground Water,Self-Supplied,PWS Intake_2022-2023.csv,CROSBY,CROSBY
Leon Lake/Reservoir,300,intake_45," 546,320,000 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,EASTLAND,EASTLAND
Hubbard Creek Lake/Reservoir,420,intake_48," 5,187,771,913 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,STEPHENS,STEPHENS
Possum Kingdom Lake/Reservoir,420,intake_49," 461,282,698 ",intake,2022,Surface Water,Purchased,PWS Intake_2022-2023.csv,PALO PINTO,STEPHENS
Gulf Coast Aquifer,911,intake_51," 419,574,900 ",intake,2022,Ground Water,Self-Supplied,PWS Intake_2022-2023.csv,CAMERON,CAMERON
1103290,873990,intake_53," 87,855,288 ",intake,2022,Ground Water,Purchased,PWS Intake_2022-2023.csv,TRINITY,TRINITY
Red Run Of River,1040,intake_55," 38,167,000 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,BRISCOE,BRISCOE
Brazos Run Of River,2000,intake_57," 4,848,227,000 ",intake,2022,Surface Water,Self-Supplied,PWS Intake_2022-2023.csv,BRAZORIA,BRAZORIA
137000,5000,intake_59," 8,362,900 ",intake,2022,Surface Water,Purchased,PWS Intake_2022-2023.csv,,PANOLA
Trinity Aquifer,5800,intake_61," 21,386,400 ",intake,2022,Ground Water,Self-Supplied,PWS Intake_2022-2023.csv,HILL,HILL
Ogallala Aquifer,6600,intake_63," 156,510,000 ",intake,2022,Ground Water,Self-Supplied,PWS Intake_2022-2023.csv,HALE,HALE
6650,6650,intake_70," 62,667,000 ",intake,2022,Reuse,Self-Supplied,PWS Intake_2022-2023.csv,,TAYLOR
