Id,Label,indegree,outdegree,Degree
Meredith Lake/Reservoir,Meredith Lake/Reservoir,0,1,1
Ogallala Aquifer,Ogallala Aquifer,0,164,164
Greenbelt Lake/Reservoir,Greenbelt Lake/Reservoir,0,1,1
Athens Lake/Reservoir,Athens Lake/Reservoir,0,1,1
Carrizo-Wilcox Aquifer,Carrizo-Wilcox Aquifer,0,466,466
Lake O' The Pines Lake/Reservoir,Lake O' The Pines Lake/Reservoir,0,2,2
186,Lake Livingston,0,1,1
Neches Run Of River,Neches Run Of River,0,2,2
Trinity Local Supply,Trinity Local Supply,0,1,1
Lavon Lake/Reservoir,Lavon Lake/Reservoir,0,1,1
Texoma Lake/Reservoir,Texoma Lake/Reservoir,0,3,3
Trinity Run Of River,Trinity Run Of River,0,6,6
Brazos Basin (Source Unknown),Brazos Basin (Source Unknown),0,142,142
Proctor Lake/Reservoir,Proctor Lake/Reservoir,0,1,1
White River Lake/Reservoir,White River Lake/Reservoir,0,1,1
Leon Lake/Reservoir,Leon Lake/Reservoir,0,1,1
Hubbard Creek Lake/Reservoir,Hubbard Creek Lake/Reservoir,0,2,2
370,Possum Kingdom,0,2,2
Gulf Coast Aquifer,Gulf Coast Aquifer,0,813,813
1103290,Trinity River Authority,0,4,4
Red Run Of River,Red Run Of River,0,1,1
Brazos Run Of River,Brazos Run Of River,0,10,10
137000,City Of Carthage,1,11,12
Trinity Aquifer,Trinity Aquifer,0,546,546
6650,City Of Abilene,4,32,36
O.H. Ivie Lake/Reservoir,O.H. Ivie Lake/Reservoir,0,1,1
Fort Phantom Hill Lake/Reservoir,Fort Phantom Hill Lake/Reservoir,0,1,1
1103189,North Texas Mwd Tawakoni Wtp,1,1,2
Granbury Lake/Reservoir,Granbury Lake/Reservoir,0,4,4
350,Lake Granbury,0,2,2
1100643,West Harris County Regional Water Authority,1,46,47
San Jacinto Basin (Source Unknown),San Jacinto Basin (Source Unknown),0,486,486
206800,Dallas Water Utility,11,116,127
241200,City Of Dumas,2,5,7
432800,City Of Jacksonville,3,13,16
809010,South Texas Water Authority,1,7,8
Edwards-Bfz Aquifer,Edwards-Bfz Aquifer,0,113,113
Edwards-Trinity-Plateau Aquifer,Edwards-Trinity-Plateau Aquifer,0,61,61
685400,City Of Plano,1,9,10
770,Hidalgo Co Wcid,0,1,1
Nueces-Rio Grande Basin (Source Unknown),Nueces-Rio Grande Basin (Source Unknown),0,17,17
420,West Central Texas Mwd,2,4,6
370401,Harris County Mud 401,2,2,4
185000,City Of Corpus Christi,5,32,37
12200,City Of Alice,2,2,4
160,North Texas Mwd Wylie Wtp,2,45,47
Igneous Aquifer,Igneous Aquifer,0,6,6
1104566,Gulf Coast Water Authority Tx City,9,2,11
14000,Galveston County Wcid 8,3,1,4
440100,Johnson County Sud,3,10,13
San Jacinto-Brazos Basin (Source Unknown),San Jacinto-Brazos Basin (Source Unknown),0,101,101
17600,Amarillo Municipal Water System,3,27,30
10,Canadian River Municipal Water Authority,2,10,12
Anahuac Lake/Reservoir,Anahuac Lake/Reservoir,0,1,1
Yegua-Jackson Aquifer,Yegua-Jackson Aquifer,0,53,53
28000,City Of Andrews,2,2,4
519600,City Of Lufkin,1,14,15
2000,Brazosport Water Authority,1,9,10
186300,City Of Corsicana,3,27,30
Woodbine Aquifer,Woodbine Aquifer,0,82,82
Trinity Basin (Source Unknown),Trinity Basin (Source Unknown),0,122,122
1102158,Gtua,0,2,2
848000,Texarkana Water Utilities,2,27,29
Hueco-Mesilla Bolson Aquifer,Hueco-Mesilla Bolson Aquifer,0,20,20
Trinity-San Jacinto Basin (Source Unknown),Trinity-San Jacinto Basin (Source Unknown),0,22,22
592000,City Of Nacogdoches,2,19,21
257400,City Of Elgin,1,1,2
Aquilla Lake/Reservoir,Aquilla Lake/Reservoir,0,1,1
32800,City Of Aransas Pass,2,3,5
769305,San Patricio Mwd,2,22,24
944456,City Of Wichita Falls,4,25,29
295231,Fort Bend County Fwsd 1,2,1,3
1101799,Utrwd Regional Water Treatment Plant,5,21,26
581900,Mt Enterprise Wsc,1,3,4
1104223,Tarrant Regional Water District,8,6,14
298900,City Of Fort Worth,5,129,134
144038,Central Texas Wsc,2,18,20
846000,City Of Temple,2,21,23
Seymour Aquifer,Seymour Aquifer,0,29,29
607468,North Central Texas Municipal Water Auth,2,15,17
Brazos-Colorado Basin (Source Unknown),Brazos-Colorado Basin (Source Unknown),0,29,29
25,Athens Municipal Water Authority,2,1,3
Town Lake/Reservoir,Town Lake/Reservoir,0,1,1
480,Lcra Lake Travis,0,10,10
41010,City Of Austin Water & Wastewater,4,39,43
San Antonio-Nueces Basin (Source Unknown),San Antonio-Nueces Basin (Source Unknown),0,6,6
723400,City Of Rhome,2,4,6
60,Northeast Texas Mwd,1,13,14
195,Eagle Mountain,0,4,4
44500,City Of Azle,2,3,5
325,Brazos River System,0,12,12
Baird Lake/Reservoir,Baird Lake/Reservoir,0,1,1
342282,Green Trails Mud,3,1,4
Ballinger / Moonen Lake/Reservoir,Ballinger / Moonen Lake/Reservoir,0,1,1
569950,Millersview-Doole Wsc,3,3,6
689500,Ponderosa Forest Utility District,2,4,6
51012,Bammel Utility District,4,3,7
370044,Harris County Mud 44,3,2,5
371200,North Harris County Regional Water Authority,3,53,56
450,Brown County Wcid,0,5,5
51700,City Of Bangs,2,4,6
754100,Rural Bardwell Wsc,1,2,3
Colorado Basin (Source Unknown),Colorado Basin (Source Unknown),0,49,49
60175,B & B Wsc,1,1,2
654200,City Of Pecos,2,1,3
332750,City Of Gordon,1,1,2
871716,Travis County Mud 4,2,2,4
891348,West Travis County Public Utility Agency,2,19,21
31500,Aqua Wsc,2,13,15
396200,City Of Houston,7,288,295
535858,Manville Wsc,6,13,19
15,Unspecified System/Facility,0,6,6
190,Cedar Creek Reservoir,0,8,8
458650,City Of Kaufman,1,6,7
185,Trinity River Authority-Arlington Dam 08120,1,2,3
76100,Bissonnet Mud,2,1,3
808303,South Sabine Wsc,1,2,3
378851,Bell County Wcid 1,2,7,9
Sparta Aquifer,Sparta Aquifer,0,28,28
1104842,A&V Water,0,1,1
Benbrook Lake/Reservoir,Benbrook Lake/Reservoir,0,2,2
Sulphur Basin (Source Unknown),Sulphur Basin (Source Unknown),0,4,4
72150,Bethesda Wsc,3,5,8
35000,City Of Arlington,2,25,27
1102216,Reagan County Wsd,1,1,2
1102701,North Fort Bend Water Authority,2,23,25
931834,West Harrison Wsc,2,5,7
Queen City Aquifer,Queen City Aquifer,0,22,22
500,J B Thomas Reservoir,0,1,1
63243,Beechnut Mud,2,1,3
Mexia Lake/Reservoir,Mexia Lake/Reservoir,0,1,1
739400,City Of Rockwall,1,3,4
133118,Clwsc Canyon Lake Shores,3,2,5
970040,Zephyr Wsc,2,2,4
746600,City Of Round Rock,4,24,28
141050,City Of Cedar Park,1,10,11
