id,unified_name,preliminary_type,Year,TWDB Estimated?, Population Served , Single Family Volumes , Single Family Connections , Multi-Family Volumes , Multi-Family Connections , Commercial Volume , Commercial Connections , Industrial Volumes , Industrial Connections , Institutional Volume , Institutional Connections , Agricultural Volumes , Agricultural Connections , Total Metered Volume , Total Metered Connections , Total Un-metered Volume , Total Un-metered Connections ,TCEQ PWS Code,Wholesale System?,Water Use Survey Form Type,PWS System Class,id2023,form2023
Meredith Lake/Reservoir,Meredith Lake/Reservoir,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Ogallala Aquifer,Ogallala Aquifer,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Greenbelt Lake/Reservoir,Greenbelt Lake/Reservoir,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Athens Lake/Reservoir,Athens Lake/Reservoir,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Carrizo-Wilcox Aquifer,Carrizo-Wilcox Aquifer,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Lake O' The Pines Lake/Reservoir,Lake O' The Pines Lake/Reservoir,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
186,Lake Livingston,water system,,,,,,,,,,,,,,,,,,,,,,,,,
Neches Run Of River,Neches Run Of River,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Trinity Local Supply,Trinity Local Supply,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Lavon Lake/Reservoir,Lavon Lake/Reservoir,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Texoma Lake/Reservoir,Texoma Lake/Reservoir,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Trinity Run Of River,Trinity Run Of River,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Brazos Basin (Source Unknown),Brazos Basin (Source Unknown),water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Proctor Lake/Reservoir,Proctor Lake/Reservoir,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
White River Lake/Reservoir,White River Lake/Reservoir,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Leon Lake/Reservoir,Leon Lake/Reservoir,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Hubbard Creek Lake/Reservoir,Hubbard Creek Lake/Reservoir,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Possum Kingdom Lake/Reservoir,Possum Kingdom Lake/Reservoir,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Gulf Coast Aquifer,Gulf Coast Aquifer,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
1103290,Trinity River Authority,water system,,,,,,,,,,,,,,,,,,,,,,,,,
Red Run Of River,Red Run Of River,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Brazos Run Of River,Brazos Run Of River,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
137000,City Of Carthage,water system,2022.0,N," 6,533 "," 161,480,000 "," 2,695 "," 10,353,700 ", 21 ," 107,411,000 ", 619 ," 308,246,600 ", 5 ," 22,983,800 ", 90 ,,," 610,475,100 "," 3,430 "," 19,000,000 ", 25 ,TX1830001,N,Municipal Long,Municipal,137000,Municipal
Trinity Aquifer,Trinity Aquifer,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
6650,City Of Abilene,water system,2022.0,N," 123,688 "," 3,212,813,000 "," 40,785 "," 534,664,000 "," 10,792 "," 1,013,812,000 "," 5,401 "," 149,223,000 ", 42 ," 1,004,137,000 "," 1,141 ",,," 6,559,497,000 "," 58,190 ",,,TX2210001,N,Municipal Long,Municipal,6650,Municipal
